id,collection,dc.contributor.advisor[en_US],dc.contributor.author[en_US],dc.date.issued[en_US],dc.description.abstract[en_US],dc.format.extent[en_US],dc.identifier.uri,dc.language[en_US],dc.note[en_US],dc.publisher[en_US],dc.subject[en_US],dc.thesis.degree[en_US],dc.title.alternative[en_US],dc.title[en_US],dc.type[en_US],ou.identifier[en_US]
2644,11244/111,,"Hall, Leo D.,",1970,,"ix, 221 leaves :",http://hdl.handle.net/11244/2756,,"Source: Dissertation Abstracts International, Volume: 31-03, Section: A, page: 0961.",The University of Oklahoma.,"School districts.||Education, Administration.||Schools Centralization.",Educat.D.,,A plan for a statewide network of regional intermediate educational centers for the State of Oklahoma /,Thesis,(UMI)AAI7016842
2480,11244/111,,"Ausmus, Martin Russey,",1969,,"iv, 344 leaves ;",http://hdl.handle.net/11244/2592,,"Source: Dissertation Abstracts International, Volume: 30-05, Section: A, page: 1975.",The University of Oklahoma.,"English fiction History and criticism.||Literature, General.",Ph.D.,,Some forms of the sequence novel in British fiction /,Thesis,(UMI)AAI6918447
2629,11244/111,,"Rutherford, James C.,",1970,,"vii, 236 leaves :",http://hdl.handle.net/11244/2741,,"Source: Dissertation Abstracts International, Volume: 31-03, Section: A, page: 1047.",The University of Oklahoma.,"UniversitÌÓë©íÏt Erlangen History.||Education, History of.",Ph.D.,,Interaction of the social forces dominant in the establishment of Friedrichs Universit‰ö_æ_ 1743 /,Thesis,(UMI)AAI7014428
2501,11244/111,,"Walters, Robert R.,",1969,,"xiv, 115 leaves :",http://hdl.handle.net/11244/2613,,"Source: Dissertation Abstracts International, Volume: 30-05, Section: B, page: 2134.",The University of Oklahoma.,"Skin friction (Aerodynamics)||Turbulence.||Boundary layer.||Engineering, Aerospace.",Ph.D.,,Turbulent boundary layer characteristics of flow over a compliant surface /,Thesis,(UMI)AAI6918468
2488,11244/111,,"Manzanares, Jake,",1969,,"ix, 168 leaves :",http://hdl.handle.net/11244/2600,,"Source: Dissertation Abstracts International, Volume: 30-05, Section: A, page: 2062.",The University of Oklahoma.,Music.||Music Instruction and study.||Sight-reading (Music),D.Mus.Ed.,,A trial of the Controlled Reader as applied to music reading /,Thesis,(UMI)AAI6918455
2495,11244/111,,"Robertson, Stanley Lunsford,",1969,,"vii, 135 leaves :",http://hdl.handle.net/11244/2607,,"Source: Dissertation Abstracts International, Volume: 30-05, Section: B, page: 2357.",The University of Oklahoma.,"Gases Analysis.||Physics, Molecular.",Ph.D.,,"PVT PROPERTIES OF GASES TO 10,000 BARS AND 400 DEGREES C.",Thesis,(UMI)AAI6918462
2619,11244/111,,"Jernigan, Mary Lois,",1970,,"vi, 267 leaves ;",http://hdl.handle.net/11244/2731,,"Source: Dissertation Abstracts International, Volume: 31-02, Section: A, page: 0644.",The University of Oklahoma.,"Education, Educational Psychology.||Phonetics Study and teaching.||Science Study and teaching.",Educat.D.,,The utility of phonic generalizations to selected science series /,Thesis,(UMI)AAI7014418
2626,11244/111,,"Poston, Charles Duane,",1970,,"iv, 143 leaves ;",http://hdl.handle.net/11244/2738,,"Source: Dissertation Abstracts International, Volume: 31-02, Section: A, page: 0734.",The University of Oklahoma.,"Literature, General.||Fiction 19th century History and criticism.||Ruskin, John, 1819-1900.",Ph.D.,,John Ruskin and the novel :,Thesis,(UMI)AAI7014425
2481,11244/111,,"Chang, Edward C. F.,",1969,,"viii, 86 leaves ;",http://hdl.handle.net/11244/2593,,"Source: Dissertation Abstracts International, Volume: 30-05, Section: A, page: 1860.",The University of Oklahoma.,"Education, Educational Psychology.||African American college students",Ph.D.,,Norms and correlates of the Watson-Glaser Critical Thinking Appraisal and selected variables for Negro college students /,Thesis,(UMI)AAI6918448
2615,11244/111,,"Belfiglio, Valentine J.",1970,,"xi, 333 leaves :",http://hdl.handle.net/11244/2727,,"Source: Dissertation Abstracts International, Volume: 31-02, Section: A, page: 0813.",The University of Oklahoma.,"Nepal Foreign relations India.||Political Science, International Law and Relations.||India Foreign relations Bhutan.||India Foreign relations India Sikkim.||Bhutan Foreign relations India.||Sikkim (India) Foreign relations India.||India Foreign relations Nepal.",Ph.D.,,"The foreign relations of India with Bhutan, Sikkim and Nepal between 1947-1967 :",Thesis,(UMI)AAI7014414
2507,11244/111,,"Choate, Pat.",1969,,"viii, 319 leaves :",http://hdl.handle.net/11244/2619,,"Source: Dissertation Abstracts International, Volume: 30-07, Section: A, page: 2702.",The University of Oklahoma.,"Economic development.||Economics, Finance.||Oklahoma Economic conditions.",Ph.D.,,An economic development program for Oklahoma /,Thesis,(UMI)AAI6921981
2623,11244/111,,"Moini, Mostafa,",1970,,"xi, 462 leaves ;",http://hdl.handle.net/11244/2735,,"Source: Dissertation Abstracts International, Volume: 31-02, Section: A, page: 0530.",The University of Oklahoma.,"Economics, General.||Economics.",Ph.D.,,Empirical verification in economics :,Thesis,(UMI)AAI7014422
2502,11244/111,,"Allison, Clinton B.||Turner, Frederick Jackson, 1861-1932.",1969,,"viii, 262 leaves ;",http://hdl.handle.net/11244/2614,,"Source: Dissertation Abstracts International, Volume: 30-07, Section: A, page: 2815.",The University of Oklahoma.,"Education West (U.S.) History.||Education, History of.",Ph.D.,,Frontier schools :,Thesis,(UMI)AAI6921976
2640,11244/111,,"Beavers, Elizabeth Cassandra,",1970,,"viii, 117 leaves :",http://hdl.handle.net/11244/2752,,"Source: Dissertation Abstracts International, Volume: 31-03, Section: A, page: 1065.",The University of Oklahoma.,"Academic achievement.||Education, Educational Psychology.||Anxiety.||Examinations.",Ph.D.,,The effects of certain anxiety-producing techniques on achievement testing and motivation in high school geometry classes /,Thesis,(UMI)AAI7016838
2496,11244/111,,"Sandmann, Charles William,",1969,,"viii, 133 leaves ;",http://hdl.handle.net/11244/2608,,"Source: Dissertation Abstracts International, Volume: 30-05, Section: A, page: 1792.",The University of Oklahoma.,"Vocational education.||Education, Administration.||Technical education.",Educat.D.,,An evaluation of the General Aptitude Test Battery in predicting success in area vocational-technical centers /,Thesis,(UMI)AAI6918463
2627,11244/111,,"Preston, William Burton,",1970,,"vi, 79 leaves :",http://hdl.handle.net/11244/2739,,"Source: Dissertation Abstracts International, Volume: 31-02, Section: B, page: 0962.",The University of Oklahoma.,"Biology, Zoology.||Nerodia Ecology Oklahoma.||Natrix erythrogaster.||Natrix rhombifera.||Nerodia erythrogaster.||Natrix Ecology Oklahoma.",Ph.D.,,"The comparative ecology of two water snakes, Natrix rhombifera and Natrix erythrogaster in Oklahoma /",Thesis,(UMI)AAI7014426
2503,11244/111,,"Askew, Cornelius,",1969,,"viii, 101 leaves :",http://hdl.handle.net/11244/2615,,"Source: Dissertation Abstracts International, Volume: 30-07, Section: B, page: 3257.",The University of Oklahoma.,"Hypertension Mortality Oklahoma.||Health Sciences, Public Health.",D.P.H.,,"An epidemiological study of hypertensive disease mortality in Oklahoma, 1958-1962 /",Thesis,(UMI)AAI6921977
2638,11244/111,,"Whitaker, Rosemary,",1970,,"vi, 157 leaves ;",http://hdl.handle.net/11244/2750,,"Source: Dissertation Abstracts International, Volume: 31-02, Section: A, page: 0737.",The University of Oklahoma.,"Transcendentalism.||Literature, General.||Thoreau, Henry David, 1817-1862. Week on the Concord and Merrimack rivers.",Ph.D.,,A week on the Concord and Merrimack rivers :,Thesis,(UMI)AAI7014437
2643,11244/111,,"Echelle, Anthony A.",1970,,"vii, 125 leaves :",http://hdl.handle.net/11244/2755,,"Source: Dissertation Abstracts International, Volume: 31-03, Section: B, page: 1602.",The University of Oklahoma.,"Biology, Zoology.",Ph.D.,,"Behavior and ecology of the Red River pupfish, Cyprinodon rubrofluviatilis /",Thesis,(UMI)AAI7016841
2636,11244/111,,"Weiss, Steven Lee,",1970,,"v, 86 leaves ;",http://hdl.handle.net/11244/2748,,"Source: Dissertation Abstracts International, Volume: 31-02, Section: B, page: 0921.",The University of Oklahoma.,"Psychotherapy.||Psychology, Clinical.",Ph.D.,,Perceived effectiveness of therapy as a function of professional identification /,Thesis,(UMI)AAI7014435
2653,11244/111,,"Bradshaw, Jo Ann Taggert,",1970,,"vi, 74 leaves ;",http://hdl.handle.net/11244/2765,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: B, page: 2952.",The University of Oklahoma.,"Verbal conditioning.||Psychology, General.||Paired-association learning.",Ph.D.,,Situational variables in verbal conditioning with children using a paired-associate paradigm /,Thesis,(UMI)AAI7021822
2648,11244/111,,"Rollins, Joan Heller,",1970,,"vi, 205 leaves ;",http://hdl.handle.net/11244/2760,,"Source: Dissertation Abstracts International, Volume: 31-03, Section: A, page: 1374.",The University of Oklahoma.,"Social distance.||Ethnopsychology.||Psychology, Social.",Ph.D.,,Reference identification of youth of differing ethnicity /,Thesis,(UMI)AAI7016846
2650,11244/111,,"Wallen, L. E.,",1970,,"viii, 109 leaves ;",http://hdl.handle.net/11244/2762,,"Source: Dissertation Abstracts International, Volume: 31-03, Section: A, page: 1127.",The University of Oklahoma.,"Science Study and teaching (Elementary)||Education, Teacher Training.",Ph.D.,,An analysis of the opinions of elementary science by two groups of teachers /,Thesis,(UMI)AAI7016848
2639,11244/111,,"Womble, Eugene Wilson,",1970,,"iv, 44 leaves ;",http://hdl.handle.net/11244/2751,,"Source: Dissertation Abstracts International, Volume: 31-02, Section: B, page: 0817.",The University of Oklahoma.,Mathematics.||Convex bodies.,Ph.D.,,"Convexity structures and the theorems of Caratheodory, Radon, and Helly /",Thesis,(UMI)AAI7014438
2645,11244/111,,"Hanson, Wayne,",1970,,"viii, 88 leaves :",http://hdl.handle.net/11244/2757,,"Source: Dissertation Abstracts International, Volume: 31-03, Section: B, page: 1585.",The University of Oklahoma.,"Health Sciences, Speech Pathology.||Vowels.||Voice.",Ph.D.,,Vowel spectral noise levels and roughness severity ratings for vowels and sentences produced by adult males presenting abnormally rough voice /,Thesis,(UMI)AAI7016843
2652,11244/111,,"Anessi, Thomas Joseph,",1970,,"xiii, 185 leaves ;",http://hdl.handle.net/11244/2764,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: B, page: 2661.",The University of Oklahoma.,"Engineering, Civil.||Shale Oklahoma.",Ph.D.,,Strength and consolidation properties of raw and stabilized Oklahoma shales /,Thesis,(UMI)AAI7021821
2654,11244/111,,"Burgett, Charley Ballard,",1970,,"viii, 104 leaves :",http://hdl.handle.net/11244/2766,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: B, page: 2874.",The University of Oklahoma.,"Photoconductivity.||Luminescence.||Sulfides||Physics, General.",Ph.D.,,Luminescence and photoconductivity in copper doped zinc sulfide and cadmium sulfide /,Thesis,(UMI)AAI7021823
2647,11244/111,,"Petree, James H.,",1970,,"vii, 121 leaves ;",http://hdl.handle.net/11244/2759,,"Source: Dissertation Abstracts International, Volume: 31-03, Section: A, page: 1020.",The University of Oklahoma.,"Education, Guidance and Counseling.||Counseling in secondary education Oklahoma.",Educat.D.,,A comparative study of the job activities of part-time and full-time counselors in selected public secondary schools in Oklahoma /,Thesis,(UMI)AAI7016845
2656,11244/111,,"Copeland, Gary Earl,",1970,,"xi, 147 leaves :",http://hdl.handle.net/11244/2768,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: B, page: 2885.",The University of Oklahoma.,"Gases.||Physics, Atomic.",Ph.D.,,Lifetimes of excited electronic states of chemically active gases /,Thesis,(UMI)AAI7021825
2658,11244/111,,"Dillon, Donald Ward,",1970,,"iv, 229 leaves :",http://hdl.handle.net/11244/2770,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: A, page: 2418.",The University of Oklahoma.,"Music.||Orchestra Handbooks, manuals, etc.||Conductors (Music) Handbooks, manuals, etc.",D.Mus.Ed.,,The development of a manual for the incipient school orchestra director /,Thesis,(UMI)AAI7021827
2660,11244/111,,"Gibbens, Helen Paxton,",1970,,"vii, 162 leaves ;",http://hdl.handle.net/11244/2772,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: A, page: 2437.",The University of Oklahoma.,"Wittgenstein, Ludwig, 1889-1951.||Berkeley, George, 1685-1753.||Philosophy.",Ph.D.,,Berkeley and Wittgenstein :,Thesis,(UMI)AAI7021829
2661,11244/111,,"Growney, Wallace James,",1970,,"iv, 101 leaves :",http://hdl.handle.net/11244/2773,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: B, page: 2821.",The University of Oklahoma.,Color in cartography.||Four-color problem.||Mathematics.,Ph.D.,,Edge conjugation and coloration in cubic maps /,Thesis,(UMI)AAI7021830
2664,11244/111,,"Jenkins, Owen Rodman,",1970,,"vii, 172 leaves ;",http://hdl.handle.net/11244/2776,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: A, page: 2060.",The University of Oklahoma.,"Education, Administration.||Education Oklahoma Finance.",Educat.D.,,A state-local finance plan for the support of the public schools of Oklahoma /,Thesis,(UMI)AAI7021833
2665,11244/111,,"Kerr, William Sterling,",1970,,"xiii, 259 leaves :",http://hdl.handle.net/11244/2777,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: B, page: 2755.",The University of Oklahoma.,Geography.||Avocado Marketing.,Ph.D.,,The avocado industry in Southern California :,Thesis,(UMI)AAI7021834
2701,11244/111,,"Mitchell, Billy J.,",1970,,"ix, 146 leaves :",http://hdl.handle.net/11244/2813,,"Source: Dissertation Abstracts International, Volume: 31-06, Section: B, page: 3417.",The University of Oklahoma.,"Foam.||Engineering, Mechanical.||Viscosity.",Ph.D.,,Viscosity of foam /,Thesis,(UMI)AAI7022998
2719,11244/111,,"Ashford, Frank Edmund,",1970,,"xxii, 437 leaves :",http://hdl.handle.net/11244/2831,,"Source: Dissertation Abstracts International, Volume: 31-06, Section: B, page: 3445.",The University of Oklahoma.,"Gases Absorption and adsorption.||Energy.||Engineering, Petroleum.",Ph.D.,,A study of the dynamic adsorption behavior of methane-n-pentane-n- hexane-n-heptane binary and multicomponent mixtures on 03 grade silica gel /,Thesis,(UMI)AAI7023963
2694,11244/111,,"Jones, Robert Warner,",1970,,"viii, 123 leaves :",http://hdl.handle.net/11244/2806,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: B, page: 2895.",The University of Oklahoma.,"Physics, Atmospheric Science.||Hurricanes.",Ph.D.,,"Acceleration of Hurricane Betsy on 29 August, 1965 /",Thesis,(UMI)AAI7022991
2677,11244/111,,"Ball, Maurice Gerald,",1970,,"v, 124 leaves ;",http://hdl.handle.net/11244/2789,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: B, page: 2950.",The University of Oklahoma.,"Parent and child.||Defensiveness (Psychology)||Psychology, General.",Ph.D.,,An investigation of defense mechanisms and recalled parent-child relations /,Thesis,(UMI)AAI7022974
2667,11244/111,,"Pearce, Burnard Leon,",1970,,"vi, 58 leaves ;",http://hdl.handle.net/11244/2779,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: B, page: 2963.",The University of Oklahoma.,"Animal behavior.||Chimpanzees.||Psychology, General.",Ph.D.,,"The effects of space, estrus, and coalitions upon the dominance hierarchy of mature, longterm associate, captive chimpanzees /",Thesis,(UMI)AAI7021836
2686,11244/111,,"Ferguson, Loree H.",1970,,"vi, 205 leaves :",http://hdl.handle.net/11244/2798,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: A, page: 2250.",The University of Oklahoma.,"Arithmetic Textbooks.||Reading Phonetic method.||Education, Mathematics.",Educat.D.,,The applicability of specific phonic generalizations to elementary mathematics textbooks /,Thesis,(UMI)AAI7022983
4028,11244/111,,"De Csipkes, Robert A.,",1976,,"iii, 57 leaves ;",http://hdl.handle.net/11244/4140,,"Source: Dissertation Abstracts International, Volume: 37-05, Section: A, page: 2632.",The University of Oklahoma.,"Education, Guidance and Counseling.||Anxiety.",Ph.D.,,A comparison of three methods of presentation of anxiety-eliciting stimuli on resulting level of autonomic arousal /,Thesis,(UMI)AAI7624377
2747,11244/111,,"Rowland, T. L.",1970,,"xi, 354 leaves :",http://hdl.handle.net/11244/2859,,"Source: Dissertation Abstracts International, Volume: 31-06, Section: B, page: 3486.",The University of Oklahoma.,"Petrology Oklahoma.||Geology, Stratigraphic Pennsylvanian.||Geology.",Ph.D.,,"Lithostratigraphy and carbonate petrology of the Morrow Formation (Pennsylvanian), Braggs-Cookson area, northeastern Oklahoma /",Thesis,(UMI)AAI7023991
2668,11244/111,,"Shiver, Wayman B.,",1970,,"vi, 167 leaves ;",http://hdl.handle.net/11244/2780,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: A, page: 2022.",The University of Oklahoma.,"Attitude change.||Education, General.||Race discrimination.",Ph.D.,,The effectiveness of two forms of an experimental teaching unit in reducing black ninth and eleventh graders' negative interracial attitudes toward white people /,Thesis,(UMI)AAI7021837
2678,11244/111,,"Bogan, Joseph Borrows,",1970,,"vii, 110 leaves ;",http://hdl.handle.net/11244/2790,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: B, page: 2976.",The University of Oklahoma.,"Parent and child.||Children with disabilities||Psychology, Clinical.",Ph.D.,,The child rearing attitudes of parents of cerebral palsied children and their relationship to child adjustment factors in habilitative therapies /,Thesis,(UMI)AAI7022975
2666,11244/111,,"Nasir, Ahmad Swaleh,",1970,,"vi, 60 leaves ;",http://hdl.handle.net/11244/2778,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: B, page: 2795.",The University of Oklahoma.,"Insect pests Biological control.||Health Sciences, Public Health.",Dr.P.H.,,Studies on the fecundity of a laboratory strain of Anopheles stephensi Liston /,Thesis,(UMI)AAI7021835
2687,11244/111,,"Fiorino, Thomas Daniel,",1970,,"xiv, 128 leaves ;",http://hdl.handle.net/11244/2799,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: B, page: 2630.",The University of Oklahoma.,"Aerodynamics, Hypersonic.||Engineering, Aerospace.",Ph.D.,,An integral approximation for shock shapes over slender bodies in inviscid hypersonic flow /,Thesis,(UMI)AAI7022984
2708,11244/111,,"Russo, Peter Joseph,",1970,,"xvi, 368 leaves :",http://hdl.handle.net/11244/2820,,"Source: Dissertation Abstracts International, Volume: 31-06, Section: B, page: 3245.",The University of Oklahoma.,"Chemistry, Inorganic.",Ph.D.,,"Syntheses and reactions of [sigma]-silyl-[pi]-cyclo-pentadienyl tricarbonyl derivatives of chromium molybdenum and tungsten, and syntheses and reactions of silyl derivatives of cyclopentadiene and methylcyclopentadiene /",Thesis,(UMI)AAI7023005
2669,11244/111,,"Smith, Charles Clinton,",1970,,"x, 100 leaves :",http://hdl.handle.net/11244/2781,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: B, page: 2945.",The University of Oklahoma.,"Biology, Animal Physiology.||Fishes Physiology.||Pituitary hormones.",Ph.D.,,Investigations into the mechanism of action of a fish pituitary    hormone /,Thesis,(UMI)AAI7021838
3014,11244/111,,"Merrell, C. Glade,",1971,,"iv, 190 leaves ;",http://hdl.handle.net/11244/3126,,"Source: Dissertation Abstracts International, Volume: 32-07, Section: A, page: 4011.",The University of Oklahoma.,"Literature, Modern.||Literature Psychology.||Diderot, Denis, 1713-1784.",Ph.D.,,Hierarchy of motives analysis of Diderot's Romanesque works /,Thesis,(UMI)AAI7203414
2702,11244/111,,"Mosch, Theodore Raymond,",1970,,"xiv, 465 leaves :",http://hdl.handle.net/11244/2814,,"Source: Dissertation Abstracts International, Volume: 31-06, Section: A, page: 3011.",The University of Oklahoma.,"Political Science, Public Administration.||Education and state United States.",Ph.D.,,The G.I. Bill :,Thesis,(UMI)AAI7022999
3016,11244/111,,"Millar, James A.,",1971,,"ix, 123 leaves ;",http://hdl.handle.net/11244/3128,,"Source: Dissertation Abstracts International, Volume: 32-07, Section: A, page: 3533.",The University of Oklahoma.,"Economics, Finance.||Stocks.||Dividends.||Stock splitting.",Ph.D.,,The effect of stock splits and stock dividends on the monthly price relatives of common stocks /,Thesis,(UMI)AAI7203416
2724,11244/111,,"Clark, Allen Romaine,",1970,,"viii, 131 leaves ;",http://hdl.handle.net/11244/2836,,"Source: Dissertation Abstracts International, Volume: 31-06, Section: A, page: 2767.",The University of Oklahoma.,"Education, Teacher Training.||Teachers In-service training.",Educat.D.,,A teacher evaluation of selected methods of in-service education /,Thesis,(UMI)AAI7023968
2670,11244/111,,"Sun, Chen,",1970,,"vi, 114 leaves :",http://hdl.handle.net/11244/2782,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: A, page: 1984.",The University of Oklahoma.,"Economics, Theory.||Business cycles.",Ph.D.,,A multisectoral analysis of the business cycle /,Thesis,(UMI)AAI7021839
3017,11244/111,,"Moore, James Irwin,",1971,,"xiii, 330 leaves ;",http://hdl.handle.net/11244/3129,,"Source: Dissertation Abstracts International, Volume: 32-07, Section: A, page: 4080.",The University of Oklahoma.,"Law enforcement United States.||Political Science, General.",Ph.D.,,Law enforcement planning in the American states :,Thesis,(UMI)AAI7203417
2680,11244/111,,"Cartmill, Robert Hasbrouck,",1970,,"vii, 123 leaves ;",http://hdl.handle.net/11244/2792,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: B, page: 2800.",The University of Oklahoma.,Rain and rainfall.||Hydrology.||Runoff.,Ph.D.,,Forecasting the volume of storm runoff using meteorological parameters /,Thesis,(UMI)AAI7022977
3018,11244/111,,"Morrow, John Karl,",1971,,"viii, 147 leaves :",http://hdl.handle.net/11244/3130,,"Source: Dissertation Abstracts International, Volume: 32-07, Section: B, page: 3879.",The University of Oklahoma.,"Chemistry, Physical.||Hydrogen bonding.||Naphthalene.",Ph.D.,,Hydrogen bond complexes of 2-naphthol and water in organic solvents /,Thesis,(UMI)AAI7203418
2720,11244/111,,"Boysen, Allen Edward,",1970,,"vii, 92 leaves :",http://hdl.handle.net/11244/2832,,"Source: Dissertation Abstracts International, Volume: 31-06, Section: B, page: 3748.",The University of Oklahoma.,"Stuttering.||Speech therapy.||Health Sciences, Speech Pathology.",Ph.D.,,The effects of nonreward on the object-naming latencies and response durations of normal-speaking and stuttering children /,Thesis,(UMI)AAI7023964
2703,11244/111,,"Painton, Max Bennett,",1970,,"v, 85 leaves ;",http://hdl.handle.net/11244/2815,,"Source: Dissertation Abstracts International, Volume: 31-06, Section: B, page: 3712.",The University of Oklahoma.,"Szondi test.||Psychology, Clinical.",Ph.D.,,A clinical validation of the Szondi test /,Thesis,(UMI)AAI7023000
3019,11244/111,,"Mortland, Donald E.,",1971,,"vi, 290 leaves ;",http://hdl.handle.net/11244/3131,,"Source: Dissertation Abstracts International, Volume: 32-07, Section: A, page: 3959.",The University of Oklahoma.,"Satire.||Literature, General.",Ph.D.,,"A critical study of Hudibrastic satire in America, 1708-1806 /",Thesis,(UMI)AAI7203419
2681,11244/111,,"Cohn, Rebecca Roddey,",1970,,"vi, 50 leaves ;",http://hdl.handle.net/11244/2793,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: B, page: 2979.",The University of Oklahoma.,"Female juvenile delinquents||Psychology, Clinical.||Self-perception.",Ph.D.,,The Tennessee Self Concept Scale as a differentiator of delinquent female subgroups /,Thesis,(UMI)AAI7022978
3020,11244/111,,"Mullins, Travis Dudley,",1971,,"vii, 87 leaves ;",http://hdl.handle.net/11244/3132,,"Source: Dissertation Abstracts International, Volume: 32-07, Section: A, page: 3728.",The University of Oklahoma.,"Education Experimental methods.||Minorities Education.||Education, Higher.",Ph.D.,,Academic achievement of minority group freshmen in a special services program /,Thesis,(UMI)AAI7203420
2715,11244/111,,"Wertz, Spencer K.",1970,,"v, 219 leaves ;",http://hdl.handle.net/11244/2827,,"Source: Dissertation Abstracts International, Volume: 31-06, Section: A, page: 2982.",The University of Oklahoma.,"Hume, David, 1711-1776.||Philosophy.||History Philosophy.",Ph.D.,,Humean models of historical discourse /,Thesis,(UMI)AAI7023012
2697,11244/111,,"Kreis, Eliahu Simha,",1970,,"viii, 247 leaves :",http://hdl.handle.net/11244/2809,,"Source: Dissertation Abstracts International, Volume: 31-06, Section: A, page: 2566.",The University of Oklahoma.,"Investments, Foreign United States.||Balance of payments United States.||Economics, General.",Ph.D.,,"Voluntary controls on direct investment abroad and the United States balance of payments, 1962-1967 /",Thesis,(UMI)AAI7022994
3021,11244/111,,"Murdock, E. Wayne,",1971,,"viii, 152 leaves ;",http://hdl.handle.net/11244/3133,,"Source: Dissertation Abstracts International, Volume: 32-07, Section: A, page: 4141.",The University of Oklahoma.,"Windstorm insurance||Sociology, Public and Social Welfare.",Ph.D.,,The educational level of dependent children of severely and permanently disabled recipients of workmen's compensation in Oklahoma /,Thesis,(UMI)AAI7203421
2673,11244/111,,"Addis, Barnett.",1970,,"v, 112 leaves ;",http://hdl.handle.net/11244/2785,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: A, page: 2491.",The University of Oklahoma.,"Mass media Psychological aspects.||Psychology, Social.",Ph.D.,,Media credibility :,Thesis,(UMI)AAI7022969
2682,11244/111,,"Crews, Norma Conley,",1970,,"v, 80 leaves ;",http://hdl.handle.net/11244/2794,,"Source: Dissertation Abstracts International, Volume: 31-06, Section: A, page: 2758.",The University of Oklahoma.,"Education, Special.||Attitude (Psychology)||Juvenile delinquency.",Ph.D.,,As assessment of the perceptions of life and attitudes toward school orientation of juvenile delinquents living in detention /,Thesis,(UMI)AAI7022979
2690,11244/111,,"Holloway, Ernest L.",1970,,"x, 128 leaves :",http://hdl.handle.net/11244/2802,,"Source: Dissertation Abstracts International, Volume: 31-06, Section: A, page: 2705.",The University of Oklahoma.,"Education, Higher.||College students.||College environment.",Educat.D.,,Environmental perceptions of unsuccessful students on selected college campuses /,Thesis,(UMI)AAI7022987
3022,11244/111,,"Palmore, Glenn Loyd,",1971,,"vi, 148 leaves ;",http://hdl.handle.net/11244/3134,,"Source: Dissertation Abstracts International, Volume: 32-07, Section: A, page: 3513.",The University of Oklahoma.,"Economic development.||Economics, General.",D.B.A.,,Marketing economic development /,Thesis,(UMI)AAI7203422
2704,11244/111,,"Phifer, Mary Kaye,",1970,,"v, 84 leaves ;",http://hdl.handle.net/11244/2816,,"Source: Dissertation Abstracts International, Volume: 31-06, Section: A, page: 3042.",The University of Oklahoma.,"Attitude (Psychology)||Psychology, Social.",Ph.D.,,Influence of the process of discrimination in the selection of items for an attitude scale /,Thesis,(UMI)AAI7023001
2674,11244/111,,"Al-naib, Falah Abdul-ghani,",1970,,"v, 34 leaves ;",http://hdl.handle.net/11244/2786,,"Source: Dissertation Abstracts International, Volume: 31-06, Section: B, page: 3205.",The University of Oklahoma.,"Plant growth inhibiting substance.||Biology, Botany.",Ph.D.,,Allelopathic effects of Platanus occidentalis L. in relation to the patterning of vegetation /,Thesis,(UMI)AAI7022970
3023,11244/111,,"Peacock, Larry G.,",1971,,"iv, 52 leaves ;",http://hdl.handle.net/11244/3135,,"Source: Dissertation Abstracts International, Volume: 32-07, Section: B, page: 4258.",The University of Oklahoma.,"Learning, Psychology of.||Psychology, Experimental.",Ph.D.,,Paired-associate transfer as a function of anticipation versus free learning /,Thesis,(UMI)AAI7203423
2698,11244/111,,"Kwok, Yan-chi (david),",1970,,"xxiv, 295 leaves :",http://hdl.handle.net/11244/2810,,"Source: Dissertation Abstracts International, Volume: 31-06, Section: B, page: 3358.",The University of Oklahoma.,"Thermodynamics.||Fluids.||Low temperature research.||Engineering, Chemical.",Ph.D.,,Use of multicomponent multiproperty regression analysis in correlating thermodynamic properties of fluids at cryogenic conditions through equations of state /,Thesis,(UMI)AAI7022995
2691,11244/111,,"Hoover, Stewart,",1969,,"vi, 101 leaves :",http://hdl.handle.net/11244/2803,,"Source: Dissertation Abstracts International, Volume: 31-05, Section: B, page: 2695.",The University of Oklahoma.,"Clinics.||Engineering, Industrial.||Queuing theory.",Ph.D.,,Scheduling physicians in an outpatient clinic modeled as a transient queue /,Thesis,(UMI)AAI7022988
